Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”,Name: “Table 1 of 1 on page 11 of 26”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,
,,,,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2002–2011,2002–2011,
"Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011","Virginia, U.S. And Border States Property Index Crime Rates, 2002–2011"
Source: FBI,,,,,,,,,,,
,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,Total Property Index Crime Rate By State and Year,,
"5,000.0",,,,,,,,,,,
"4,500.0",,,,,,,,,,,
"4,000.0",,,,,,,,,,,
"3,500.0",,,,,,,,,,,
"3,000.0",,,,,,,,,,,
"2,500.0",,,,,,,,,,,
"2,000.0",,,,,,,,,,,
"1,500.0",,,,,,,,,,,
"1,000.0",,,,,,,,,,,
500.0,,,,,,,,,,,
0.0,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
,,KY,,MD,NC,TN,VA,WV,US,,
,Property Index Crime Rate by Year,Property Index Crime Rate by Year,Property Index Crime Rate by Year,Property Index Crime Rate by Year,Property Index Crime Rate by Year,Property Index Crime Rate by Year,,,% Change,% Change,
,2002,,2010,2010,2011,2011,2002-2011,2002-2011,2010-2011,2010-2011,
KY,"2,623.6",,"2,551.3","2,551.3","2,708.8","2,708.8",+3.2,+3.2,,+6.2,
MD,"3,977.6",,"2,997.3","2,997.3","2,860.2","2,860.2",-28.1,-28.1,,-4.6,
NC,"4,251.2",,"3,447.3","3,447.3","3,526.8","3,526.8",-17.0,-17.0,,+2.3,
TN,"4,302.0",,"3,657.9","3,657.9","3,595.9","3,595.9",-16.4,-16.4,,-1.7,
VA,"2,848.9",,"2,327.2","2,327.2","2,249.6","2,249.6",-21.0,-21.0,,-3.3,
WV,"2,280.9",,"2,239.6","2,239.6","2,273.9","2,273.9",-0.3,-0.3,,+1.5,
US,"3,630.6",,"2,941.9","2,941.9","2,908.7","2,908.7",-19.9,-19.9,,-1.1,
"Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,","Property crime rates continue trending downward in both Virginia and the U.S. Over the last decade,"
Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering,Virginia’s property crime rates have been consistently below national rates and all but two bordering
states.,,,,,,,,,,,
From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.,From 2002 to 2011 the property crime rate in Virginia decreased by 21% and by almost 20% in the U.S.
The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the,The property crime rate in Virginia decreased by 3% from 2010 to 2011 and decreased by 1% across the
U.S.,,,,,,,,,,,
Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,Virginia’s 2011 property crime rates and rates for the other 49 states are found in Appendix A.,
,,,,,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,VIRGINIA DEPARTMENT OF CRIMINAL JUSTICE SERVICES,11
