Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”,Name: “Table 1 of 1 on page 18 of 38”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
10711,Sterling VFD,Loudoun Co.,2006,"3,088",0,123,"3,211",12,12
10712,Lovettsville Vol. Fire/Rescue,Loudoun Co.,2006,25,0,5,30,2,2
10716,Neersville Vol. Fire/Rescue,Loudoun Co.,2006,151,0,82,233,12,12
,Loudoun Co.,13,,"11,456",1,"1,465","12,922",,
10902,Holly Grove VFD,Louisa Co.,2006,42,0,4,46,2,2
10903,Locust Creek VFD,Louisa Co.,2006,178,0,25,203,12,12
10904,Louisa Vol. Fire Dept.,Louisa Co.,2006,203,0,192,395,12,12
10905,Mineral Vol. Fire Dept.,Louisa Co.,2006,281,0,4,285,12,12
10906,Trevilians VFD,Louisa Co.,2006,48,0,28,76,7,7
10907,Zion Crossroads VFD,Louisa Co.,2006,158,0,100,258,12,12
,Louisa Co.,6,,910,0,353,"1,263",,
11101,Kenbridge Vol. Fire Dept.,Lunenburg Co.,2006,75,5,11,91,12,12
11102,Meherrin Vol. Fire & Rescue Team - Engin,Lunenburg Co.,2006,396,2,40,438,12,12
11103,Victoria Fire & Rescue Inc.,Lunenburg Co.,2006,18,0,5,23,3,3
,Lunenburg Co.,3,,489,7,56,552,,
11501,"Mathews Vol. Fire Dept., Inc.",Mathews Co.,2006,302,5,2,309,12,12
,Mathews Co.,1,,302,5,2,309,,
As of 04/18/2007,,,,,,,,,Page 18 of 38
