Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”,Name: “Table 1 of 1 on page 39 of 127”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2011,Report Period: 2011,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
06108,Goldvein Fire Dept,Goldvein Fire Dept,,,,,,,,,,,
Count,22,41,35,18,24,17,16,17,10,13,10,1,224
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,1,1,2,3,3,2,0,0,1,0,0,13
06109,Marshall Rescue Squad,Marshall Rescue Squad,,,,,,,,,,,
Count,21,14,13,15,10,4,9,23,11,2,9,2,133
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,0,0,0,0,0,0,0,0,0,1
,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,New Baltimore Fire and Rescue,,,,,,,,,,
06110,,,,,,,,,,,,,
Count,68,63,71,46,48,49,59,54,22,11,9,3,503
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,1,2,2,1,0,1,2,1,0,0,0,11
06111,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,Orlean Fire and Rescue Dept,,,,,,,,,,
Count,24,27,24,17,18,29,19,22,15,16,15,5,231
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,6,2,1,0,1,2,2,1,1,0,0,17
Page 39 of 127,Page 39 of 127,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 08 08:45:23 EST 2012,Thu Mar 08 08:45:23 EST 2012
