Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”,Name: “Table 1 of 1 on page 4 of 5”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,,,
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
"(Industrial, Utility, Defense, Agriculture, Mining Property Use)","(Industrial, Utility, Defense, Agriculture, Mining Property Use)","(Industrial, Utility, Defense, Agriculture, Mining Property Use)","(Industrial, Utility, Defense, Agriculture, Mining Property Use)","(Industrial, Utility, Defense, Agriculture, Mining Property Use)","(Industrial, Utility, Defense, Agriculture, Mining Property Use)",,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,0,0.0%,$0,14,77.8%,"$225,275",4,22.2%,"$35,000",18,100.0%,"$260,275"
2005,2,8.7%,"$2,000,000",17,73.9%,"$1,406,451",4,17.4%,"$6,000",23,100.0%,"$3,412,451"
2006,7,21.9%,"$73,002",23,71.9%,"$2,348,502",2,6.3%,$0,32,100.0%,"$2,421,504"
2007,6,23.1%,"$55,550",17,65.4%,"$4,372,500",3,11.5%,"$200,000",26,100.0%,"$4,628,050"
2008,1,4.5%,$40,18,81.8%,"$352,300",3,13.6%,"$2,005,000",22,100.0%,"$2,357,340"
2009 *,6,35.3%,"$21,100",9,52.9%,"$38,002",2,11.8%,"$78,000",17,100.0%,"$137,102"
Grand Total,22,15.9%,"$2,149,692",98,71.0%,"$8,743,030",18,13.0%,"$2,324,000",138,100.0%,"$13,216,722"
