Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”,Name: “Table 1 of 1 on page 8 of 11”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,,,,,,
Tally,Tally,,,,,,,,,,,,,,,,,
Selected Coded Field:,Selected Coded Field:,Property Use,Property Use,Property Use,,,,,,,,,,,,,,
Report Period:,Report Period:,1/1/06 - 12/31/06,1/1/06 - 12/31/06,,,,,,,,,,,,,,,
COD,DESCRIPTOR,FREQ,FREQ %,EXPs,CIV,CIV,CIV,CIV,FF,FF DTH,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
E,,,,,DTHS,DTHS %,INJS,INJS %,DTHS,%,INJS,INJS %,,LOSS %,,LOSS %,,LOSS %
,Laboratory or science,,,,,,,,,,,,,,,,,
629,lababoratory,187,0.03%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,000",0.00%,0,0.00%,"1,000",0.00%
,"Defense, military",,,,,,,,,,,,,,,,,
631,installation,569,0.10%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,604,000",0.33%,500,0.00%,"1,604,500",0.26%
,Computer center,,,,,,,,,,,,,,,,,
635,,141,0.03%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
,Communications center,,,,,,,,,,,,,,,,,
639,,234,0.04%,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,400",0.00%,"1,000",0.00%,"2,400",0.00%
,Utility or Distribution,,,,,,,,,,,,,,,,,
640,"system, other",260,0.05%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"37,000",0.01%,"20,000",0.02%,"57,000",0.01%
,Electrical distribution,,,,,,,,,,,,,,,,,
642,,278,0.05%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"13,051",0.00%,"5,001",0.00%,"18,052",0.00%
,"Gas distribution,",,,,,,,,,,,,,,,,,
644,"pipeline, gas distribution",101,0.02%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"344,550",0.07%,"5,000",0.00%,"349,550",0.06%
,Flammable liquid,,,,,,,,,,,,,,,,,
645,"distribution, pipeline,",36,0.01%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"10,000",0.00%,"5,000",0.00%,"15,000",0.00%
,flammable,,,,,,,,,,,,,,,,,
,Water utility,,,,,,,,,,,,,,,,,
647,,65,0.01%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"20,000",0.00%,"10,001",0.01%,"30,001",0.00%
,Sanitation utility,,,,,,,,,,,,,,,,,
648,,117,0.02%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"128,200",0.03%,"11,000",0.01%,"139,200",0.02%
,Crops or orchard,,,,,,,,,,,,,,,,,
655,,123,0.02%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"283,082",0.06%,"25,503",0.02%,"308,585",0.05%
,Livestock production,,,,,,,,,,,,,,,,,
659,,85,0.02%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"483,801",0.10%,"265,251",0.20%,"749,052",0.12%
,"Forest, timberland,",,,,,,,,,,,,,,,,,
669,woodland,651,0.12%,0,0,0.00%,0,0.00%,0,0.00%,3,1.06%,"637,083",0.13%,"925,732",0.70%,"1,562,815",0.25%
,Mine or quarry,,,,,,,,,,,,,,,,,
679,,35,0.01%,0,0,0.00%,1,0.19%,0,0.00%,0,0.00%,"968,000",0.20%,"20,000",0.02%,"988,000",0.16%
,"Manufacturing,",,,,,,,,,,,,,,,,,
700,processing,"3,284",0.59%,1,1,0.79%,16,3.01%,0,0.00%,5,1.77%,"17,800,358",3.62%,"8,999,004",6.83%,"26,799,362",4.29%
,"Storage, other",,,,,,,,,,,,,,,,,
800,,265,0.05%,4,0,0.00%,1,0.19%,0,0.00%,0,0.00%,"388,336",0.08%,"123,051",0.09%,"511,387",0.08%
,Page 8 of 11,,,,,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,,,,,4/18/07 10:31:41 AM,4/18/07 10:31:41 AM,
