,"STATEWIDE SPRING PASSING RATES NON-LEP AND LEP 2000-2002",,,,,,
,"SOL TEST","Non-LEP","LEP","Non-LEP","LEP","Non-LEP","LEP"
,,2000,2000,2001,2001,2002,2002
,"GRADE 3",,,,,,
,"ENGLISH",61.3971026944464,39.7338,65.2769742551345,44.9904,72,55
,"MATHEMATICS",71.8439691070221,55.6481,77.568964279733,66.3642,81,70
,"HISTORY & SOCIAL SCIENCE",65.8657327714133,41.6102,72.4884246796597,54.7842,77,63
,"SCIENCE",73.2879560006177,50.2789,74.6695560557445,54.4382,79,61
,,,,,,,
,"GRADE 5",,,,,,
,"ENGLISH: READING",69.13,38.6692,73.53,49.9789,78,57
,"ENGLISH: WRITING",81.05,60.0729,84.78,67.4077,84,67
,"MATHEMATICS",63.74,45.247,67.09,50.1006,72,56
,"HISTORY & SOCIAL SCIENCE",51.88,26.6531,63.6,39.2502,73,55
,"SCIENCE",64.82,37.2249,75.35,52.4284,77,52
,"COMPUTER/TECHNOLOGY",85.38,71.7669,82.56,66.3807,87,72
,,,,,,,
,"GRADE 8",,,,,,
,"ENGLISH: READING",70.04,38.7833,73.5,42.9624,70,40
,"ENGLISH: WRITING",76.69,51.6046,75.82,49.4796,76,51
,"MATHEMATICS",61.49,49.8088,68.25,56.4571,71,59
,"HISTORY & SOCIAL SCIENCE",50.65,24.7354,56.84,28.3307,79,57
,"SCIENCE",81.76,59.8558,84.4,64.8606,85,67
,"COMPUTER/TECHNOLOGY",78.18,52.6502,79.56,53.4646,77,54
,,,,,,,
,"HIGH SCHOOL",,,,,,
,"ENGLISH: READING",78.41,51.0433,82.62,57.161,87,63
,"ENGLISH: WRITING",85.29,63.5812,84.83,55.1508,86,61
,"ALGEBRA I",65.25,61.0249,74.51,73.6926,79,76
,"ALGEBRA II",57.77,63.981,73.61,72.235,77,76
,"GEOMETRY",66.83,63.9019,73.39,65.8515,76,70
,"U. S. HISTORY",39.73,12.9392,47.88,21.5483,72,43
,"WORLD HISTORY I",75.81,54.0031,83.59,67.882,86,73
,"WORLD HISTORY II",60.09,33.9248,65.81,44.3762,79,62
,"WORLD GEOGRAPHY",75.91,56.7442,77.49,66.1905,74,66
,"EARTH SCIENCE",70.23,36.0892,73.55,39.4652,70,33
,"BIOLOGY",80.3,45.6246,82.11,57.4344,84,56
,"CHEMISTRY",64.36,35.5556,74.19,53.5165,79,63
,,,,,,,
,"Spring pass rates do not include summer or fall results",,,,,,
