,Central,,Eastern,Hampton Roads,Hampton Roads,,Northern
Cities,Counties,Cities,Counties,Cities,Counties,Cities,Counties
Bedford,Albemarle,,Accomack,Chesapeake,Gloucester,Alexandria,Arlington
Charlottesville,Amherst,,Essex,Hampton,Isle of Wight,Fairfax,Fairfax
Lynchburg,Appomattox,,King & Queen,Newport News,James City,Falls Church,Fauquier
,Bedford,,King William,Norfolk,Mathews,Fredericksburg,King George
,Campbell,,Lancaster,Poquoson,York,Manassas,Loudoun
,Culpeper,,Middlesex,Portsmouth,,Manassas Park,Prince William
,Fluvanna,,Northampton,Suffolk,,,Spotsylvania
,Greene,,Northumberland,Virginia Beach,,,Stafford
,Louisa,,Richmond,Williamsburg,,,
,Madison,,Westmoreland,,,,
,Nelson,,,,,,
,Orange,,,,,,
,Rappahannock,,,,,,
,Richmond,,Southside,Southwest,Southwest,,Valley
Cities,Counties,Cities,Counties,Cities,Counties,Cities,Counties
Colonial Heights,Caroline,Danville,Amelia,Bristol,Bland,Buena Vista,Alleghany
Hopewell,Charles City,Emporia,Brunswick,Galax,Buchanan,Covington,Augusta
Petersburg,Chesterfield,Franklin,Buckingham,Norton,Carroll,Harrisonburg,Bath
Richmond,Dinwiddie,Martinsville,Charlotte,Radford,Dickenson,Lexington,Botetourt
,Goochland,,Cumberland,,Floyd,Roanoke,Clarke
,Hanover,,Franklin,,Giles,Salem,Craig
,Henrico,,Greensville,,Grayson,Staunton,Frederick
,New Kent,,Halifax,,Lee,Waynesboro,Highland
,Powhatan,,Henry,,Montgomery,Winchester,Page
,Prince George,,Lunenburg,,Pulaski,,Roanoke
,,,Mecklenburg,,Russell,,Rockbridge
,,,Nottoway,,Scott,,Rockingham
,,,Patrick,,Smyth,,Shenandoah
,,,Pittsylvania,,Tazewell,,Warren
,,,Prince Edward,,Washington,,
,,,Southampton,,Wise,,
,,,Surry,,Wythe,,
,,,Sussex,,,,
