Name: “Table 1 of 1 on page 24 of 80”,Name: “Table 1 of 1 on page 24 of 80”,Name: “Table 1 of 1 on page 24 of 80”,Name: “Table 1 of 1 on page 24 of 80”
Table: 24,Table: 24,Table: 24,Table: 24
,,,
OMB NO. 1810-0614,,,Page 24
1.3.3.5 Student Academic Achievement in Science - Grade 7,1.3.3.5 Student Academic Achievement in Science - Grade 7,,
,,,Percentage of
,# Students Who Received a,# Students,Students
,Valid Score and for Whom a Proficiency,Scoring at or,Scoring at or
Grade 7,Level Was Assigned,Above Proficient,Above Proficient
All students,,,
American Indian or Alaskan Native,,,
Asian,,,
Black or African American,,,
Hispanic or Latino,,,
Native Hawaiian or other Pacific Islander,,,
White,,,
Two or more races,,,
Children with disabilities (IDEA),,,
Limited English proficient (LEP) students,,,
Economically disadvantaged students,,,
Migratory students,,,
Male,,,
Female,,,
Comments: Virginia does not administer the Standards of Learning assessments in science for grade 7.,Comments: Virginia does not administer the Standards of Learning assessments in science for grade 7.,Comments: Virginia does not administer the Standards of Learning assessments in science for grade 7.,
