Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,Page 56
1.6.5 Education Programs and Activities for Immigrant Students,1.6.5 Education Programs and Activities for Immigrant Students,1.6.5 Education Programs and Activities for Immigrant Students,1.6.5 Education Programs and Activities for Immigrant Students,1.6.5 Education Programs and Activities for Immigrant Students,1.6.5 Education Programs and Activities for Immigrant Students,
This section collects data on education programs and activities for immigrant students.,This section collects data on education programs and activities for immigrant students.,This section collects data on education programs and activities for immigrant students.,This section collects data on education programs and activities for immigrant students.,This section collects data on education programs and activities for immigrant students.,This section collects data on education programs and activities for immigrant students.,
1.6.5.1 Immigrant Students,1.6.5.1 Immigrant Students,1.6.5.1 Immigrant Students,1.6.5.1 Immigrant Students,,,
"In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and","In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and","In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and","In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and","In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and","In the table below, report the unduplicated number of immigrant students enrolled in schools in the State and",
who participated in qualifying educational programs under Section 3114(d)(1).,who participated in qualifying educational programs under Section 3114(d)(1).,who participated in qualifying educational programs under Section 3114(d)(1).,who participated in qualifying educational programs under Section 3114(d)(1).,who participated in qualifying educational programs under Section 3114(d)(1).,who participated in qualifying educational programs under Section 3114(d)(1).,
Table 1.6.5.1 Definitions:,Table 1.6.5.1 Definitions:,Table 1.6.5.1 Definitions:,,,,
1.,Immigrant,Students,Enrolled,=,Number of students who meet the definition of immigrant children and youth,Number of students who meet the definition of immigrant children and youth
,under Section 3301(6) and enrolled in the elementary or secondary schools in the State.,under Section 3301(6) and enrolled in the elementary or secondary schools in the State.,under Section 3301(6) and enrolled in the elementary or secondary schools in the State.,under Section 3301(6) and enrolled in the elementary or secondary schools in the State.,under Section 3301(6) and enrolled in the elementary or secondary schools in the State.,
