Name: “Table 1 of 1 on page 58 of 79”,Name: “Table 1 of 1 on page 58 of 79”,Name: “Table 1 of 1 on page 58 of 79”,Name: “Table 1 of 1 on page 58 of 79”,Name: “Table 1 of 1 on page 58 of 79”,Name: “Table 1 of 1 on page 58 of 79”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,
OMB NO. 1810-0614,,,,,Page 57
2.4.1.6.2 Academic Performance in Mathematics – Subpart 1,2.4.1.6.2 Academic Performance in Mathematics – Subpart 1,2.4.1.6.2 Academic Performance in Mathematics – Subpart 1,,,
This section is similar to 2.4.1.6.1. The only difference is that this section collects data on mathematics performance.,This section is similar to 2.4.1.6.1. The only difference is that this section collects data on mathematics performance.,This section is similar to 2.4.1.6.1. The only difference is that this section collects data on mathematics performance.,This section is similar to 2.4.1.6.1. The only difference is that this section collects data on mathematics performance.,This section is similar to 2.4.1.6.1. The only difference is that this section collects data on mathematics performance.,
Performance Data,,,,,
(Based on most recent,Neglected,Juvenile,Juvenile,Adult,Other
testing data),Programs,Detention,Corrections,Corrections,Programs
Long-term students who tested below grade,,,,,
level upon entry,"n
    ",902,397,"n
    ","n
    "
Long-term students who have complete pre-,,,,,
and post-test results (data),"n
    ","1,504",420,"n
    ","n
    "
"Of the students reported in the second row above, indicate the number who showed:","Of the students reported in the second row above, indicate the number who showed:","Of the students reported in the second row above, indicate the number who showed:","Of the students reported in the second row above, indicate the number who showed:",,
Performance Data,,,,,
(Based on most recent,Neglected,Juvenile,Juvenile,Adult,Other
pre/post-test data).,Programs,Detention,Corrections,Corrections,Programs
Negative grade level change from the pre- to,,,,,
post-test exams,"n
    ",329,"n
    ","n
    ","n
    "
No change in grade level from the pre- to post-,,,,,
test exams,"n
    ",213,"n
    ","n
    ","n
    "
Improvement of up to 1/2 grade level from the,,,,,
pre- to post-test exams,"n
    ",257,150,"n
    ","n
    "
Improvement from 1/2 up to one full grade level,,,,,
from the pre- to post-test exams,"n
    ",326,169,"n
    ","n
    "
Improvement of more than one full grade level,,,,,
from the pre- to post-test exams,"n
    ",379,101,"n
    ","n
    "
Comments:,,,,,
