Name: “Table 1 of 1 on page 62 of 79”,Name: “Table 1 of 1 on page 62 of 79”,Name: “Table 1 of 1 on page 62 of 79”,Name: “Table 1 of 1 on page 62 of 79”,Name: “Table 1 of 1 on page 62 of 79”,Name: “Table 1 of 1 on page 62 of 79”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,
OMB NO. 1810-0614,,,,,Page 61
2.4.2.3 Programs/Facilities Academic Offerings – Subpart 2,2.4.2.3 Programs/Facilities Academic Offerings – Subpart 2,2.4.2.3 Programs/Facilities Academic Offerings – Subpart 2,,,
"In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and","In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and","In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and","In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and","In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and","In the table below, provide the number of programs/facilities (not students) that received Title I, Part D, Subpart 2 funds and"
"awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include","awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include","awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include","awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include","awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include","awarded at least one high school course credit, one high school diploma, and/or one GED within the reporting year. Include"
"programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through","programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through","programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through","programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through","programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through","programs/facilities that directly awarded a credit, diploma, or GED, as well as programs/facilities that made awards through"
another agency. The numbers should not exceed those reported earlier in the facility counts.,another agency. The numbers should not exceed those reported earlier in the facility counts.,another agency. The numbers should not exceed those reported earlier in the facility counts.,another agency. The numbers should not exceed those reported earlier in the facility counts.,another agency. The numbers should not exceed those reported earlier in the facility counts.,
,At-Risk,Neglected,Juvenile,Juvenile Corrections,Other
LEA Programs That,Programs,Programs,Detention,Facilities,Programs
Awarded high school,,,,,
course credit(s),23,7,2,11,0
Awarded high school,,,,,
diploma(s),18,3,1,10,0
Awarded GED(s),10,1,3,3,0
Comments:,,,,,
