Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”,Name: “Table 1 of 1 on page 128 of 179”
Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125
,,,,,,,,,,,,,
,,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,126
NEW YORK,NEW YORK,,,,,,,,,,,,
American Lung Association in New York,American Lung Association in New York,,,,,,,,,,,,
"418 Broadway, First Floor",,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,
"Albany, NY 12207",,,,,,,,,,,,,
(518) 465-2013,,,,,,,,24 Hour,24 Hour,,,Annual,
www.lung.org/newyork,,,,,Wgt.,,,,,Wgt.,,Design,Pass/
,County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
,Albany,6,0,0,2.0,C,1,0,0,0.3,B,8.1,PASS
,Bronx,10,0,0,3.3,F,3,0,0,1.0,C,9.8,PASS
,Chautauqua,19,1,0,6.8,F,0,0,0,0.0,A,7.5,PASS
,Chemung,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Dutchess,7,1,0,2.8,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Erie,8,0,0,2.7,D,1,0,0,0.3,B,9.6,PASS
,Essex,8,0,0,2.7,D,0,0,0,0.0,A,4.3,PASS
,Franklin,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Hamilton,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Herkimer,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Jefferson,13,0,0,4.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Kings,DNC,DNC,DNC,DNC,DNC,1,0,0,0.3,B,9.9,PASS
,Madison,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Monroe,2,0,0,0.7,B,1,0,0,0.3,B,INC,INC
,Nassau,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC
,New York,10,0,0,3.3,F,1,0,0,0.3,B,11.8,PASS
,Niagara,8,0,0,2.7,D,0,0,0,0.0,A,INC,INC
,Oneida,0,0,0,0.0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Onondaga,5,0,0,1.7,C,0,0,0,0.0,A,7.6,PASS
,Orange,4,0,0,1.3,C,1,0,0,0.3,B,8.1,PASS
,Oswego,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Putnam,6,0,0,2.0,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Queens,17,1,0,6.2,F,2,0,0,0.7,B,9.1,PASS
,Rensselaer,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC
,Richmond,27,1,0,9.5,F,1,0,0,0.3,B,9.7,PASS
,Rockland,10,0,0,3.3,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
