Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”,Name: “Table 1 of 1 on page 59 of 179”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,,,
,,,,AT-RISK GROUPS,AT-RISK GROUPS,AT-RISK GROUPS,,,
,,,,Lung Diseases,Lung Diseases,Lung Diseases,,,
,,,,,,,Cardio-,,
,Total,,65 &,Pediatric,Adult,,vascular,,
County,Population,Under 18,Over,Asthma,Asthma,COPD,Disease,Diabetes,Poverty
Placer,"361,682","85,361","59,884","7,488","24,681","14,298","21,761","30,499","32,697"
Plumas,"19,399","3,370","4,444",296,"1,457",932,"1,493","2,021","2,833"
Riverside,"2,268,783","621,038","281,587","54,477","145,184","77,188","111,695","162,066","398,252"
Sacramento,"1,450,121","361,613","172,884","31,721","95,947","50,393","72,061","106,320","279,494"
San Benito,"56,884","15,796","5,922","1,386","3,629","1,887","2,662","4,020","7,201"
San Bernardino,"2,081,313","586,445","198,966","51,443","131,079","65,782","90,970","138,232","415,927"
San Diego,"3,177,063","726,268","380,276","63,708","215,294","111,464","158,275","233,550","465,651"
San Francisco,"825,863","111,319","115,232","9,765","62,628","32,426","46,242","67,430","120,702"
San Joaquin,"702,612","201,160","77,249","17,646","44,136","22,956","32,618","48,340","127,598"
San Luis Obispo,"274,804","50,208","44,517","4,404","19,918","11,108","16,571","23,467","36,010"
San Mateo,"739,311","161,339","103,690","14,153","51,270","28,049","41,145","59,641","61,857"
Santa Barbara,"431,249","97,606","57,571","8,562","29,309","15,472","22,368","32,236","67,314"
Santa Clara,"1,837,504","434,326","213,746","38,099","123,523","64,154","91,007","135,228","195,277"
Santa Cruz,"266,776","54,902","32,435","4,816","18,707","9,811","13,968","20,818","35,647"
Shasta,"178,586","38,950","32,397","3,417","12,511","7,415","11,440","15,843","30,171"
Siskiyou,"44,154","8,907","9,312",781,"3,188","1,993","3,159","4,296","9,244"
Solano,"420,757","99,066","52,068","8,690","28,495","15,235","21,950","32,477","58,170"
Sonoma,"491,829","105,390","74,902","9,245","34,427","19,350","28,844","41,339","58,592"
Stanislaus,"521,726","145,520","59,055","12,765","33,120","17,294","24,655","36,403","103,926"
Sutter,"95,022","25,541","12,769","2,240","6,143","3,346","4,916","7,053","17,710"
Tehama,"63,406","15,544","10,674","1,364","4,280","2,502","3,830","5,340","13,980"
Trinity,"13,526","2,376","2,970",208,"1,014",643,"1,024","1,401","2,887"
Tulare,"451,977","145,180","44,587","12,735","26,863","13,613","19,060","28,386","132,911"
Tuolumne,"54,008","9,133","11,893",801,"4,047","2,514","3,983","5,389","7,438"
Ventura,"835,981","208,588","105,405","18,297","55,541","29,842","43,232","63,400","96,062"
Yolo,"204,118","44,953","21,647","3,943","13,868","6,843","9,427","14,135","33,838"
Totals,"37,878,666","9,202,137","4,580,088","807,207","2,526,031","1,325,387","1,895,873","2,791,141","6,291,941"
CALIFORNIA,,,,,,,,,
,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,57
