Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”,Name: “Table 1 of 1 on page 91 of 179”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,,,,,,,,,
,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH OZONE DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012,HIGH PARTICLE POLLUTION DAYS 2010–2012
,,,,,,,24 Hour,24 Hour,,,Annual,
,,,,Wgt.,,,,,Wgt.,,Design,Pass/
County,Orange,Red,Purple,Avg,Grade,Orange,Red,Purple,Avg,Grade,Value,Fail
Johnson,14,0,0,4.7,F,0,0,0,0.0,A,7.7,PASS
Leavenworth,15,0,0,5.0,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Linn,9,0,0,3.0,D,0,0,0,0.0,A,9.1,PASS
Riley,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sedgwick,23,0,0,7.7,F,0,0,0,0.0,A,9.2,PASS
Shawnee,14,0,0,4.7,F,1,0,0,0.3,B,9.2,PASS
Sumner,18,0,0,6.0,F,0,0,0,0.0,A,8.6,PASS
Trego,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wyandotte,13,0,0,4.3,F,0,0,0,0.0,A,10.2,PASS
KANSAS,,,,,,,,,,,,
,,,,,,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,A M E R I C A N LU N G ASS O C I AT I O N STAT E   O F   T H E   A I R 2 01 4,89
